%d_%m_%H_%M_%S
113 0 0 0 0 0 17 
113 0 0 0 0 0 16 
113 0 0 0 0 0 16 
108 0 0 0 0 0 16 
108 0 0 0 0 0 16 
107 0 0 0 0 0 15 
107 0 0 0 0 0 14 
107 0 0 0 0 0 14 
107 0 0 0 0 0 13 
105 0 0 0 0 0 11 
104 0 0 0 0 0 9 
105 0 0 0 0 0 9 
104 0 0 0 0 0 9 
105 0 0 0 0 0 9 
105 0 0 0 0 0 8 
105 0 0 0 0 0 8 
103 0 0 0 0 0 8 
102 0 0 0 0 0 8 
102 0 0 0 0 0 7 
103 0 0 0 0 0 7 
102 0 0 0 0 0 6 
102 0 0 0 0 0 6 
102 0 0 0 0 0 5 
102 0 0 0 0 0 6 
102 0 0 0 0 0 6 
102 0 0 0 0 0 6 
102 0 0 0 0 0 6 
102 0 0 0 0 0 5 
101 0 0 0 0 0 5 
102 0 0 0 0 0 5 
102 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
101 0 0 0 0 0 5 
100 0 0 0 0 0 5 
100 0 0 0 0 0 5 
100 0 0 0 0 0 5 
105 0 0 0 0 0 42 
129 0 0 0 0 0 52 
145 0 0 0 0 0 80 
157 0 0 15 0 0 89 
161 0 0 34 0 0 95 
169 0 0 16 0 0 103 
176 0 0 16 0 0 105 
179 0 0 17 0 0 107 
183 0 0 15 0 0 110 
185 0 0 12 0 0 111 
186 0 0 12 0 0 113 
187 0 0 13 0 0 113 
187 0 0 13 0 0 113 
187 0 0 14 0 0 114 
187 0 0 14 0 0 114 
187 0 0 15 0 0 115 
187 0 0 16 0 0 114 
188 0 0 16 0 0 115 
188 0 0 16 0 0 115 
188 0 0 16 0 0 115 
188 0 0 16 0 0 115 
189 0 0 17 0 0 115 
189 0 0 16 0 0 115 
189 0 0 17 0 0 115 
188 0 0 16 0 0 115 

